id,numero_de_trajet,debut_trajet,fin_trajet,vitesse_moyenne,duree_trajet_min
10,1,2018-01-01T08:35:00.000Z,2018-01-01T08:35:00.000Z,0.7674066326248462,1.0
10,2,2018-01-01T17:32:00.000Z,2018-01-01T17:32:00.000Z,0.7674066326248462,1.0
10,3,2018-01-02T08:35:00.000Z,2018-01-02T08:35:00.000Z,0.7674066326248462,1.0
10,4,2018-01-02T17:32:00.000Z,2018-01-02T17:32:00.000Z,0.7993493758804904,1.0
10,5,2018-01-04T08:35:00.000Z,2018-01-04T08:35:00.000Z,0.78499434136527,1.0
10,6,2018-01-04T17:32:00.000Z,2018-01-04T17:32:00.000Z,0.7674066326248462,1.0
10,7,2018-01-05T08:35:00.000Z,2018-01-05T08:35:00.000Z,0.45141566624990953,1.0
10,8,2018-01-05T17:32:00.000Z,2018-01-05T17:32:00.000Z,0.7674066326248462,1.0
10,9,2018-01-08T08:35:00.000Z,2018-01-08T08:35:00.000Z,0.8230015189918126,1.0
10,10,2018-01-08T17:32:00.000Z,2018-01-08T17:32:00.000Z,0.40627409962491856,1.0
10,11,2018-01-09T08:35:00.000Z,2018-01-09T08:35:00.000Z,0.7674066326248462,1.0
10,12,2018-01-09T17:32:00.000Z,2018-01-09T17:32:00.000Z,0.8230015189918126,1.0
10,13,2018-01-11T08:35:00.000Z,2018-01-11T08:35:00.000Z,0.7674066326248462,1.0
10,14,2018-01-11T17:32:00.000Z,2018-01-11T17:32:00.000Z,0.7674066326248462,1.0
10,15,2018-01-12T08:35:00.000Z,2018-01-12T08:35:00.000Z,0.7674066326248462,1.0
10,16,2018-01-12T17:32:00.000Z,2018-01-12T17:32:00.000Z,0.8483382582489735,1.0
10,17,2018-01-15T08:35:00.000Z,2018-01-15T08:35:00.000Z,0.7418302150840296,1.0
10,18,2018-01-15T17:32:00.000Z,2018-01-15T17:32:00.000Z,0.7674066326248462,1.0
10,19,2018-01-16T08:35:00.000Z,2018-01-16T08:35:00.000Z,0.7674066326248462,1.0
10,20,2018-01-16T17:32:00.000Z,2018-01-16T17:32:00.000Z,0.7674066326248462,1.0
10,21,2018-01-18T08:35:00.000Z,2018-01-18T08:35:00.000Z,0.7674066326248462,1.0
10,22,2018-01-18T17:37:00.000Z,2018-01-18T17:42:00.000Z,0.8656005851193659,6.0
10,23,2018-01-19T08:35:00.000Z,2018-01-19T08:35:00.000Z,0.7674066326248462,1.0
10,24,2018-01-19T17:32:00.000Z,2018-01-19T17:32:00.000Z,0.7674066326248462,1.0
10,25,2018-01-22T08:35:00.000Z,2018-01-22T08:35:00.000Z,0.7674066326248462,1.0
10,26,2018-01-22T17:32:00.000Z,2018-01-22T17:32:00.000Z,0.7674066326248462,1.0
10,27,2018-01-23T08:35:00.000Z,2018-01-23T08:35:00.000Z,0.7674066326248462,1.0
10,28,2018-01-23T17:37:00.000Z,2018-01-23T17:42:00.000Z,0.7674066326248462,6.0
